MSSV,Họ lót,Tên,Ngày,Tháng,Năm,Giới tính,Địa chỉ,Email
12321062,Tran Quoc,Phong,26,09,2004,Nam,Dong Thap,12321062@sv.dut.udn.vn
12321063,Vu Huu,Phong,14,08,2001,Nam,Quang Nam,12321063@sv.dut.udn.vn
12321064,Vu Tuan,Phong,23,02,2000,Nam,Ha Tinh,12321064@sv.dut.udn.vn
12321065,Vu Van,Phong,26,11,2000,Nam,Bac Giang,12321065@sv.dut.udn.vn
12321066,Bui Mai,Quyen,01,05,2001,Nu,Dong Thap,12321066@sv.dut.udn.vn
12321067,Dang Bao,Quyen,02,10,2000,Nu,Ha Tinh,12321067@sv.dut.udn.vn
12321068,Dang Bao,Quyen,14,07,2005,Nu,Dong Thap,12321068@sv.dut.udn.vn
12321069,Do Bao,Quyen,09,07,2000,Nu,Ho Chi Minh,12321069@sv.dut.udn.vn
12321070,Do Ha,Quyen,02,02,2004,Nu,An Giang,12321070@sv.dut.udn.vn
12321071,Le Ha,Quyen,10,02,2000,Nu,Bac Giang,12321071@sv.dut.udn.vn
12321072,Le Thi,Quyen,08,12,2003,Nu,Bac Giang,12321072@sv.dut.udn.vn
12321073,Nguyen Thanh,Quyen,28,01,2004,Nu,Ha Noi,12321073@sv.dut.udn.vn
12321074,Pham Ha,Quyen,01,03,2005,Nu,Ho Chi Minh,12321074@sv.dut.udn.vn
12321075,Pham Ngoc,Quyen,10,12,2001,Nu,Ha Tinh,12321075@sv.dut.udn.vn
12321076,Bui Van,Son,26,01,2005,Nam,Can Tho,12321076@sv.dut.udn.vn
12321077,Hoang Van,Son,14,05,2001,Nam,Can Tho,12321077@sv.dut.udn.vn
12321078,Phan Tuan,Son,01,08,2004,Nam,Bac Giang,12321078@sv.dut.udn.vn
12321079,Tran Gia,Son,20,10,2004,Nam,Can Tho,12321079@sv.dut.udn.vn
12321080,Bui Lan,Trang,17,04,2005,Nu,Can Tho,12321080@sv.dut.udn.vn
12321081,Dang Bao,Trang,28,01,2001,Nu,Quang Nam,12321081@sv.dut.udn.vn
12321082,Dang Kim,Trang,26,05,2000,Nu,Dong Thap,12321082@sv.dut.udn.vn
12321083,Do Kim,Trang,17,05,2005,Nu,Hai Phong,12321083@sv.dut.udn.vn
12321084,Le Ngoc,Trang,23,07,2001,Nu,Bac Giang,12321084@sv.dut.udn.vn
12321085,Nguyen Thi,Trang,01,02,2000,Nu,Dong Thap,12321085@sv.dut.udn.vn
12321086,Phan Thanh,Trang,26,06,2001,Nu,Ho Chi Minh,12321086@sv.dut.udn.vn
12321087,Hoang Van,Viet,10,05,2005,Nam,Quang Nam,12321087@sv.dut.udn.vn
12321088,Nguyen Thanh,Viet,15,07,2002,Nam,Ha Noi,12321088@sv.dut.udn.vn
12321089,Pham Trung,Viet,15,06,2005,Nam,Ha Noi,12321089@sv.dut.udn.vn
12321090,Tran Gia,Viet,26,02,2000,Nam,Hai Phong,12321090@sv.dut.udn.vn
12321091,Bui Kim,Yen,03,11,2003,Nu,Dong Thap,12321091@sv.dut.udn.vn
12321092,Dang Bao,Yen,05,02,2004,Nu,Da Nang,12321092@sv.dut.udn.vn
12321093,Do Ngoc,Yen,01,09,2001,Nu,Can Tho,12321093@sv.dut.udn.vn
12321094,Hoang Bao,Yen,01,05,2000,Nu,Bac Giang,12321094@sv.dut.udn.vn
12321095,Hoang Bao,Yen,16,02,2005,Nu,Quang Nam,12321095@sv.dut.udn.vn
12321096,Hoang Ngoc,Yen,17,02,2004,Nu,Can Tho,12321096@sv.dut.udn.vn
12321097,Le Mai,Yen,26,04,2005,Nu,Ha Tinh,12321097@sv.dut.udn.vn
12321098,Pham Hoai,Yen,03,05,2000,Nu,Ha Tinh,12321098@sv.dut.udn.vn
12321099,Tran Hoai,Yen,21,11,2004,Nu,Can Tho,12321099@sv.dut.udn.vn
12321100,Vu Hoai,Yen,13,05,2002,Nu,Hai Phong,12321100@sv.dut.udn.vn
